isbn10,simple_label_prediction
0002005883,Fiction
0002261987,Fiction
0006178731,Fiction
0006280897,NonFiction
0006280935,NonFiction
0006380832,NonFiction
000647022X,Fiction
0006472613,Fiction
0006482074,Fiction
0006483011,Fiction
0006483895,Fiction
0006483909,Fiction
000649045X,Fiction
0006496431,NonFiction
0006496873,Fiction
000649689X,Fiction
000649692X,NonFiction
0006498868,Fiction
0006499163,Fiction
0006499260,Fiction
0006499627,Fiction
0006511481,NonFiction
0006512674,NonFiction
0006513085,Fiction
0006514642,NonFiction
0006514855,Fiction
0006545866,NonFiction
0006551394,NonFiction
0006551815,NonFiction
000664600X,Children's Fiction
0007105045,Fiction
0007111509,Fiction
0007113803,Fiction
0007116268,Fiction
0007117531,NonFiction
000711933X,Fiction
0007119356,Fiction
0007120680,Fiction
0007120699,Fiction
0007120818,Fiction
0007120869,Fiction
0007120877,Fiction
0007120966,Fiction
0007120982,Fiction
0007121008,NonFiction
0007121016,Fiction
0007121024,Fiction
0007121105,NonFiction
0007124015,Fiction
0007126905,NonFiction
0007129653,NonFiction
0007130317,NonFiction
0007135653,NonFiction
0007136587,Fiction
0007136595,Fiction
0007137338,Fiction
0007149123,Fiction
0007149824,Fiction
0007151241,NonFiction
0007151675,Fiction
0007153589,Fiction
0007154844,Fiction
0007154887,Fiction
000715805X,NonFiction
0007158521,Fiction
0007162995,NonFiction
0007171994,Fiction
0007173024,Fiction
0007179812,NonFiction
0007179820,NonFiction
0007189958,NonFiction
0007190689,Fiction
0007191928,NonFiction
0007195710,NonFiction
0007204442,NonFiction
0007204469,Fiction
0020264739,Fiction
0020360754,Fiction
0020442602,Children's Fiction
0020867409,NonFiction
0024181900,NonFiction
0027897508,NonFiction
0029131693,NonFiction
0029221307,NonFiction
0030547741,Children's Fiction
0060000147,Children's Fiction
0060001534,Children's Fiction
0060004509,Children's Fiction
0060005696,NonFiction
006000942X,NonFiction
006001234X,Children's Fiction
0060012382,Children's Fiction
0060013133,Fiction
0060084383,NonFiction
0060085444,Fiction
0060088745,NonFiction
0060090375,Fiction
0060093749,NonFiction
0060094931,Children's Fiction
0060099453,Children's Fiction
0060175648,Fiction
0060177241,Fiction
0060218053,Children's Fiction
0060245603,Children's Fiction
0060256575,Children's Fiction
0060256753,Children's Fiction
0060277408,Children's NonFiction
0060278420,Children's NonFiction
0060391537,NonFiction
0060502959,Fiction
0060504080,Fiction
0060506040,Fiction
0060507403,Fiction
0060509058,NonFiction
0060510854,Fiction
0060510862,Fiction
0060511060,Children's Fiction
0060511109,Fiction
0060511117,Children's Fiction
0060511133,Fiction
0060512806,Fiction
0060515198,Fiction
0060515228,Fiction
0060516054,NonFiction
0060518650,NonFiction
0060519134,Fiction
0060521228,Children's Fiction
0060521996,NonFiction
0060524936,Fiction
006052510X,Fiction
0060525118,Fiction
0060527986,Fiction
0060527994,Fiction
0060529571,NonFiction
0060531045,Fiction
0060535113,NonFiction
006054094X,NonFiction
0060541830,Fiction
0060541881,Children's Fiction
0060543493,Children's Fiction
0060545844,NonFiction
